,Model,cr,ce,cs,cg,rise_times,errors,energy
0,exp1,1.0,1.0,1.0,1.0,320.1,1.1353888518302175,1543.84228515625
1,exp10,1.0,0.01,0.01,0.01,163.34,1.1347738877531333,8745.6455078125
2,exp11,1.0,0.1,0.01,0.01,126.96,1.0375809619048346,6493.51806640625
3,exp12,1.0,1.0,0.01,0.01,478.6,1.4066235359032815,1081.7298583984375
4,exp13,1.0,0.01,0.1,0.01,294.2,1.1260087059646264,6671.8818359375
5,exp14,1.0,0.01,1.0,0.01,159.02,1.1304975501994656,5733.31103515625
6,exp15,1.0,0.01,0.01,0.1,125.36,1.0679782753031004,8017.19384765625
7,exp16,1.0,0.01,0.01,1.0,154.66,1.116692772757637,7947.67138671875
8,exp19,1.0,0.8,0.001,0.1,526.94,1.308308616864181,1271.650146484375
9,exp2,1.0,0.0,0.0,0.0,132.78,1.0405264847736801,4574.6572265625
10,exp20,1.0,0.7,0.01,1.0,278.24,1.0684139801509263,1709.2232666015625
11,exp21,1.0,0.7,0.01,0.01,331.64,1.1203503019571597,1596.161865234375
12,exp5,0.01,0.01,0.01,0.01,531.52,2.939985230934883,1792.6845703125
13,noesc01,1.0,0.0,0.0,0.0,321.98,1.206646418141598,3554.528076171875
14,noesc01_r,1.0,0.3,1.0,1.0,875.3,3.4701420490690005,740.929443359375
15,noesc01_ra,1.0,0.01,0.1,1.0,208.8,1.1936761843249588,1567.8773193359375
16,noesc01_rs,1.0,0.25,0.1,1.0,806.78,2.9129445657120447,958.6437377929688
17,noesc01_rse,1.0,0.01,0.1,1.0,128.9,1.0225407754228142,5737.794921875
18,noesc01_rsg,1.0,0.01,0.1,1.0,137.88,0.9658406627652532,3548.787109375
19,noesc01_rsgl,1.0,0.01,0.1,1.0,946.74,9.67607643684126,754.912353515625
20,noesc02,1.0,0.0,0.0,0.0,131.82,1.0164089486709498,4224.70458984375
21,noesc02_r,1.0,0.05,1.0,1.0,143.96,0.9703504512995609,2489.542236328125
22,noesc02_rs,1.0,0.01,0.1,1.0,143.9,0.9419838017070474,3102.143798828125
23,noesc02_rse,1.0,1.0,1.0,1.0,353.68,1.1547615574400567,1311.3804931640625
24,noesc02_rsg,1.0,0.01,0.1,1.0,192.14,0.9778790520515606,1933.1522216796875
25,noesc02_rsgl,1.0,0.01,0.1,1.0,582.64,2.8127844801863535,1008.4215087890625
26,noesc03,1.0,0.0,0.0,0.0,132.18,0.9799670516714059,4846.48876953125
