,Model,cr,ce,cs,cg,rise_times,errors,energy
0,exp1,1.0,1.0,1.0,1.0,320.1,1.1353888518302175,1543.84228515625
1,exp2,1.0,0.0,0.0,0.0,132.78,1.0405264847736801,4574.6572265625
2,exp3,1.0,1.0,5.0,1.0,412.6,1.189972006486373,1689.678466796875
3,exp4,1.0,1.0,1.0,5.0,443.06,1.3520103183960435,1315.6673583984375
4,exp5,0.01,0.01,0.01,0.01,531.52,2.939985230934883,1792.6845703125
5,exp6,1.0,2.0,1.0,1.0,780.6,1.6839521488793687,977.3318481445312
6,exp7,5.0,1.0,1.0,1.0,161.72,1.1652597312063262,5643.96728515625
7,exp8,1.0,5.0,1.0,1.0,920.38,3.9248098823183817,664.5220336914062
8,exp9,1.0,5.0,20.0,12.0,905.8,4.185810836474571,629.9884643554688
9,exp10,1.0,0.01,0.01,0.01,163.34,1.1347738877531333,8745.6455078125
10,exp11,1.0,0.1,0.01,0.01,126.96,1.0375809619048346,6493.51806640625
11,exp12,1.0,1.0,0.01,0.01,478.6,1.4066235359032815,1081.7298583984375
12,exp13,1.0,0.01,0.1,0.01,294.2,1.1260087059646264,6671.8818359375
13,exp14,1.0,0.01,1.0,0.01,159.02,1.1304975501994656,5733.31103515625
14,exp15,1.0,0.01,0.01,0.1,125.36,1.0679782753031004,8017.19384765625
15,exp16,1.0,0.01,0.01,1.0,154.66,1.116692772757637,7947.67138671875
16,exp17,2.0,0.01,0.01,0.01,199.3,1.1091718863020832,7734.64111328125
17,exp18,3.0,0.1,0.01,0.01,214.28,1.2458844739521537,7717.9775390625
18,exp19,1.0,0.8,0.001,0.1,526.94,1.308308616864181,1271.650146484375
19,exp20,1.0,0.7,0.01,1.0,278.24,1.0684139801509263,1709.2232666015625
20,exp21,1.0,0.7,0.01,0.01,331.64,1.1203503019571597,1596.161865234375
21,exp22,1.0,1.0,0.0,0.0,510.68,1.2884435612750056,1402.48046875
22,exp23,1.0,0.6,0.0,0.0,298.24,1.0883383254185321,1917.48583984375
23,exp24,0.0,0.0,1.0,0.0,893.9,19.61161949419881,13734.28515625
