Model,cr,ce,cs,cg,Notes,eps trained
noesc01_rsgl,0.01,0.01,0.01,0.01,,
noesc02_rsgl,0.1,0.01,0.01,0.01,,
noesc01_rse,1,0.01,0.01,0.01,,
exp10,1,0.01,0.01,0.01,,
exp15,1,0.01,0.01,0.1,,
exp16,1,0.01,0.01,1,,
exp13,1,0.01,0.1,0.01,,
noesc01_ra,1,0.01,0.1,0.1,,
noesc01_rsg,1,0.01,0.1,1,,
exp14,1,0.01,1,0.01,,
noesc02_r,1,0.01,1,0.1,,
exp3,1,0.01,1,1,,
exp11,1,0.1,0.01,0.01,,
exp19,1,0.1,0.01,0.1,,
exp21,1,0.1,0.01,1,,
exp4,1,0.1,0.1,0.01,,
noesc01_r,1,0.1,0.1,0.1,,
exp7,1,0.1,0.1,1,,
noesc02,1,0.1,1,0.01,,
noesc03,1,0.1,1,0.1,,
noesc03_r,1,0.1,1,1,,
exp12,1,1,0.01,0.01,,
noesc02_rs,1,1,0.01,0.1,,
exp20,1,1,0.01,1,,
noesc01,1,1,0.1,0.01,,
noesc04_r,1,1,0.1,0.1,,
exp22,1,1,0.1,1,,
exp1,1,1,1,0.01,,
noesc02_rse,1,1,1,0.1,,
exp5,1,1,1,1,,
