EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,18.392839193344116,0,0.1356016993522644,5.677345,2.027365e-05,0.0,-0.0039143483,1.0649253
999.0,-70.12978515797279,1,1,30.349780559539795,999,0.16678625345230103,5.6763306,1.9338851e-05,0.0,-0.01253948,0.9277751
999.0,-70.12978515797279,0,1,40.40405249595642,999,-0.005025625228881836,5.6758523,6.377697e-06,0.0,-0.00089586474,0.40316898
999.5,-62.32294978785361,1,2,45.68060898780823,1999,-0.03201639652252197,5.6730447,7.8082085e-06,0.0,0.024098735,0.513226
999.5,-62.32294978785361,0,2,51.17480540275574,1999,-0.0024275779724121094,5.667526,1.0728836e-05,0.0,-0.008357271,0.4443869
999.6666666666666,-57.46764438953843,1,3,58.47856283187866,2999,0.0012813806533813477,5.668433,6.0796738e-06,0.0,-0.013355714,0.39799026
999.6666666666666,-57.46764438953843,0,3,66.70699620246887,2999,0.0007080435752868652,5.6664915,5.4240227e-06,0.0,0.026840074,0.8838465
999.75,-59.39642925782006,1,4,74.25466179847717,3999,-0.001877903938293457,5.6670685,5.6028366e-06,0.0,-0.0122890435,0.83223414
999.75,-59.39642925782006,0,4,80.7812385559082,3999,-0.0005508661270141602,5.667096,1.7285347e-06,0.0,-0.0011726995,0.3180224
999.8,-55.44542929696693,1,5,86.60084462165833,4999,-0.0011938810348510742,5.6669307,9.536743e-07,0.0,-0.010119205,0.23903394
999.8,-55.44542929696693,0,5,90.86378836631775,4999,-0.0008535385131835938,5.6660385,8.940697e-07,0.0,-0.00546158,0.33071464
999.8333333333334,-53.53989616652529,1,6,98.28865694999695,5999,9.685754776000977e-05,5.6654215,2.9802322e-07,0.0,-0.007916177,0.38623926
999.8333333333334,-53.53989616652529,0,6,109.07173442840576,5999,0.00019854307174682617,5.6654215,1.1920929e-07,0.0,0.0045572966,1.3159698
999.8571428571429,-56.88800534891325,1,7,117.49610233306885,6999,-0.0001233816146850586,5.665421,-5.9604645e-08,0.0,-0.009792606,1.2931514
