EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,13.266521453857422,0,-0.0018877983093261719,5.679237,0.0008837136,0.0,-0.006463506,0.425196
999.0,-71.31367308521187,1,1,22.703107118606567,999,-0.014853119850158691,5.6858435,0.0006002548,0.0,-0.007765655,0.56996477
999.0,-71.31367308521187,0,1,28.341988563537598,999,-0.04081451892852783,5.6934943,0.00022660656,0.0,-0.0061111716,0.29132473
999.5,-60.826048666191795,1,2,35.23150944709778,1999,-0.0015807151794433594,5.687699,0.0008924648,0.0,-0.0029324035,0.3273197
999.5,-60.826048666191795,0,2,44.63666772842407,1999,-0.005435347557067871,5.693212,0.0002760291,0.0,-0.011080386,0.26854128
999.6666666666666,-56.234022362615036,1,3,52.48878455162048,2999,-0.0006679296493530273,5.695985,4.768384e-05,0.0,-0.006460462,0.25867206
999.6666666666666,-56.234022362615036,0,3,61.85463333129883,2999,-0.001725912094116211,5.6973042,4.2676926e-05,0.0,-0.00093430676,0.6050898
999.75,-58.10781509215899,1,4,69.09096050262451,3999,-0.0004559755325317383,5.698913,7.712866e-05,0.0,-0.011153814,0.5608854
999.75,-58.10781509215899,0,4,78.288654088974,3999,-0.00033724308013916016,5.697738,0.00011639968,0.0,-0.0041190167,0.21147381
999.8,-55.067777529370346,1,5,88.48502206802368,4999,-0.00026798248291015625,5.6935654,3.6835794e-05,0.0,-0.0075363605,0.21811514
999.8,-55.067777529370346,0,5,96.78854179382324,4999,-0.0014551877975463867,5.6958685,2.7239323e-05,0.0,0.0067189652,0.17061616
999.8333333333334,-52.65001594250111,1,6,104.40512371063232,5999,-2.6106834411621094e-05,5.69311,8.342166e-06,0.0,-0.0079113785,0.18768595
999.8333333333334,-52.65001594250111,0,6,110.48072052001953,5999,2.5928020477294922e-05,5.693113,1.1920929e-07,0.0,0.012376132,1.088724
999.8571428571429,-56.43973847158624,1,7,116.22450995445251,6999,3.1054019927978516e-05,5.693113,5.9604645e-08,0.0,0.0058993986,1.134087
