Model,cr,ce,cs,cg,Notes,eps trained
noesc01,1,0,0,0,,
noesc02,1,0,0,0,,
noesc03,1,0,0,0,,
noesc01_r,1,0.3,1,1,,
noesc02_r,1,0.05,1,1,,
noesc03_r,1,0.01,0.1,20,,
noesc04_r,1,0.01,0.1,10,,
noesc01_rs,1,0.25,0.1,1,Goal – saturation ,
noesc02_rs,1,0.01,0.1,1,Goal – saturation ,
noesc01_rsg,1,0.01,0.1,1,Goal is 10 if not at saturation,10k
noesc01_rsgl,1,0.01,0.1,1,"Goal is 10 if not at saturation, 3 layers",1k
noesc02_rsgl,1,0.01,0.1,1,"Goal is 10 if not at saturation, 3 layers",3k
noesc01_ra,1,0.01,0.1,1,"Goal is 10 if not at saturation, no sat",10k
noesc02_rsg,1,0.01,0.1,1,Goal is 10 if saturation in 10%,15k
noesc01_rse,1,0.01,0.1,1,"Goal – saturation, error squared",10k
noesc02_rse,1,1,1,1,"Goal – saturation, error squared",10k
