Model,cr,ce,cs,cg,Notes,eps trained
exp2,1,0,0,0,"Goal – saturation, error squared",5k
exp7,5,1,1,1,"Goal – saturation, error squared",5k
noesc03,1,0,0,0,,
noesc02_r,1,0.05,1,1,,
noesc03_r,1,0.01,0.1,20,,
noesc04_r,1,0.01,0.1,10,,
noesc02_rs,1,0.01,0.1,1,Goal – saturation ,
noesc01_rsg,1,0.01,0.1,1,Goal is 10 if not at saturation,10k
noesc02_rsg,1,0.01,0.1,1,Goal is 10 if saturation in 10%,15k
noesc01_rse,1,0.01,0.1,1,"Goal – saturation, error squared",10k
exp10,1,0.01,0.01,0.01,"Goal – saturation, error squared",10k
exp11,1,0.1,0.01,0.01,"Goal – saturation, error squared",10k
exp12,1,1,0.01,0.01,"Goal – saturation, error squared",10k
exp13,1,0.01,0.1,0.01,"Goal – saturation, error squared",10k
exp14,1,0.01,1,0.01,"Goal – saturation, error squared",10k
exp15,1,0.01,0.01,0.1,"Goal – saturation, error squared",10k
exp16,1,0.01,0.01,1,"Goal – saturation, error squared",10k
exp17,2,0.01,0.01,0.01,"Goal – saturation, error squared",10k
