EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,5.3301682472229,0,1.1205673217773438e-05,5.705249,0.00023189026,-5.1347246,-0.0033714797,1.1565053
1000.0,-70.05706200384672,1,1,8.405442476272583,1000,-0.0014712810516357422,5.736028,0.0002496564,-5.162425,-0.0074215443,1.1563506
1000.0,-70.05706200384672,0,1,11.475164413452148,1000,-0.001450181007385254,5.760467,0.00016033699,-5.1844187,-0.013207312,0.58487904
1000.0,-61.01344723304639,1,2,14.536080837249756,2000,-0.0012661218643188477,5.7849274,0.00015568733,-5.206435,-0.00462198,0.5526398
1000.0,-61.01344723304639,0,2,17.52062702178955,2000,-0.0015399456024169922,5.8045573,9.894371e-05,-5.224101,0.015582981,0.5279343
1000.0,-57.332694346063306,1,3,20.515814065933228,3000,-0.0008639097213745117,5.8245625,0.00010436773,-5.242106,-0.014597012,0.48132622
1000.0,-57.332694346063306,0,3,23.531635522842407,3000,-0.001511693000793457,5.838915,6.169081e-05,-5.255023,-0.0030493417,0.84719384
1000.0,-59.03464564083568,1,4,26.238455057144165,4000,-0.00016248226165771484,5.85321,5.993421e-05,-5.26789,-0.008989173,0.86781746
1000.0,-59.03464564083568,0,4,29.244567394256592,4000,0.00260007381439209,5.8631916,2.7894974e-05,-5.2768717,0.0073471167,0.29508922
1000.0,-55.62969203012964,1,5,32.13088822364807,5000,0.001697838306427002,5.8723598,2.2351742e-05,-5.2851233,-0.0053827525,0.3786476
1000.0,-55.62969203012964,0,5,34.92752742767334,5000,-0.00013518333435058594,5.8771033,7.0929527e-06,-5.2893915,0.0041246177,0.39507633
1000.0,-53.652103326296476,1,6,37.66454339027405,6000,9.298324584960938e-06,5.881843,6.020069e-06,-5.293658,-0.011080128,0.36187947
