EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,5.03103232383728,0,-0.0004132986068725586,5.6747518,2.9825916e-05,0.0,0.00063309766,1.100426
1000.0,-70.16167215593197,1,1,8.026982545852661,1000,-0.11139094829559326,5.6764154,1.3420731e-05,0.0,0.0031853383,1.1452713
1000.0,-70.16167215593197,0,1,10.820528507232666,1000,-0.0015568733215332031,5.677465,2.4094681e-05,0.0,-0.0074329716,0.59075123
1000.0,-61.08364722369879,1,2,13.923011302947998,2000,-0.003960013389587402,5.677401,4.242584e-05,0.0,0.0063524204,0.585642
1000.0,-61.08364722369879,0,2,16.64971351623535,2000,-0.0011936426162719727,5.679719,1.1680896e-05,0.0,-0.0035392484,0.46279928
1000.0,-56.815153727469806,1,3,19.399789810180664,3000,-0.0004602670669555664,5.6791353,1.0468811e-05,0.0,-0.0023877174,0.560917
1000.0,-56.815153727469806,0,3,22.260437965393066,3000,-5.364418029785156e-05,5.675942,1.05498975e-05,0.0,0.005454203,0.97741854
1000.0,-58.79454988823976,1,4,25.35048818588257,4000,-0.0004749298095703125,5.6766562,1.2993813e-05,0.0,-0.014122945,0.93540615
1000.0,-58.79454988823976,0,4,28.100916624069214,4000,-0.0005261898040771484,5.677559,1.0475516e-05,0.0,0.0034984474,0.36593255
1000.0,-55.47461854307191,1,5,31.186128854751587,5000,7.37309455871582e-05,5.677734,4.8325705e-06,0.0,-0.006040476,0.4013131
1000.0,-55.47461854307191,0,5,34.03067684173584,5000,-0.00018155574798583984,5.6778173,5.9604645e-07,0.0,-0.0050191414,0.38365874
1000.0,-53.167187126521604,1,6,37.04827427864075,6000,-0.0003464221954345703,5.677514,1.1324883e-06,0.0,-0.0034532398,0.35683742
