EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,7.801581859588623,0,0.00023442506790161133,5.6674566,2.7868276e-05,0.0,0.0083840955,0.95717967
1000.0,-66.45342879607061,1,1,12.515336275100708,1000,0.01730167865753174,5.664794,1.2736395e-05,0.0,-0.0039709914,0.85961473
1000.0,-66.45342879607061,0,1,15.82559084892273,1000,-0.004255175590515137,5.6633325,7.2377425e-06,0.0,0.006317699,0.50392395
1000.0,-58.97221561978406,1,2,19.07986879348755,2000,-0.0007249116897583008,5.664413,1.8632289e-05,0.0,0.0022961318,0.53923976
1000.0,-58.97221561978406,0,2,22.531271934509277,2000,0.00024145841598510742,5.6642556,9.774913e-06,0.0,-0.0010122359,0.49154758
1000.0,-56.3381373126679,1,3,26.216612339019775,3000,-0.001215219497680664,5.6666026,9.894371e-06,0.0,0.013100056,0.5216448
1000.0,-56.3381373126679,0,3,29.161197185516357,3000,-0.000931859016418457,5.6684947,6.0532243e-06,0.0,-0.011264026,0.8381477
1000.0,-58.229754111965036,1,4,32.51570463180542,4000,-0.0004763603210449219,5.6688514,2.9206276e-06,0.0,0.015912445,0.8110349
1000.0,-58.229754111965036,0,4,35.63024139404297,4000,-0.0013451576232910156,5.6677394,1.6093254e-06,0.0,0.0055599906,0.31543016
1000.0,-54.54965253366527,1,5,38.98948884010315,5000,-0.00041604042053222656,5.667981,1.847744e-06,0.0,0.0030190134,0.24697079
1000.0,-54.54965253366527,0,5,42.50312280654907,5000,-0.00032770633697509766,5.6682353,4.172325e-07,0.0,-0.0056251744,0.3641197
1000.0,-52.87365745255403,1,6,45.90678691864014,6000,-9.5367431640625e-06,5.667931,3.5762787e-07,0.0,0.01136564,0.37741807
