EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,8.261202812194824,0,1.3649463653564453e-05,5.6688623,4.074797e-05,0.0,0.017939659,1.059068
999.0,-72.52586035538087,1,1,12.826749086380005,999,-0.02551877498626709,5.6600423,2.5653095e-05,0.0,0.006643951,1.0271084
999.0,-72.52586035538087,0,1,16.070897579193115,999,-0.005574703216552734,5.6559367,2.1937365e-05,0.0,0.004487396,0.53436863
999.5,-61.77312129922491,1,2,20.028240203857422,1999,-0.0037003755569458008,5.662048,3.4853194e-05,0.0,0.011611393,0.43023074
999.5,-61.77312129922491,0,2,23.66767644882202,1999,-0.01018679141998291,5.6629343,3.3974648e-06,0.0,-0.0027477562,0.3801805
999.6666666666666,-57.20559606419568,1,3,27.56719160079956,2999,-0.006270408630371094,5.658616,1.3445069e-05,0.0,-0.014237628,0.48185408
999.6666666666666,-57.20559606419568,0,3,31.10243272781372,2999,-0.001417994499206543,5.658425,2.9206276e-06,0.0,0.0020368916,0.71542084
999.75,-58.29115138720057,1,4,34.738895654678345,3999,0.00016897916793823242,5.657326,4.6491623e-06,0.0,7.017354e-05,0.8157608
999.75,-58.29115138720057,0,4,38.149776458740234,3999,-0.00128173828125,5.657883,3.3246974e-06,0.0,-0.0014283602,0.3456394
999.8,-55.052551455813635,1,5,41.48633170127869,4999,-0.0001842975616455078,5.658381,1.5812616e-06,0.0,0.0029331266,0.30191094
999.8,-55.052551455813635,0,5,45.01703357696533,4999,-0.0004156827926635742,5.658399,7.748604e-07,0.0,0.019530104,0.30455682
999.8333333333334,-52.76268087735814,1,6,49.27605485916138,5999,-4.1961669921875e-05,5.658141,1.1006991e-06,0.0,-0.010534167,0.3182715
999.8333333333334,-52.76268087735814,0,6,53.28636598587036,5999,-0.001554727554321289,5.658141,1.1920929e-07,0.0,0.0054267864,1.3409348
999.8571428571429,-56.16399400425489,1,7,57.89737677574158,6999,-0.0011088848114013672,5.658141,-1.4901161e-07,0.0,-0.00039718498,1.2627294
