model_name,num_timesteps,timesteps_per_actorbatch,clip_param,entcoeff,optim_epochs,optim_batchsize,nodes_per_layer,num_layers,train_time
['time_x_nodes_per_layer_exp_1'],[6000],[500],[0.1],[0.],[5],[32],[1],[32],[119.79639673]
['time_x_entcoeff_exp_0'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[66.91593361]
['time_x_optim_epochs_exp_15'],[6000],[500],[0.1],[0.],[15],[32],[2],[32],[116.22450995]
['time_x_num_layers_exp_32'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[147.56351447]
['time_x_optim_epochs_exp_2'],[6000],[500],[0.1],[0.],[2],[32],[2],[32],[67.90435028]
['time_x_clip_param_exp_0.5'],[6000],[500],[0.5],[0.],[5],[32],[2],[32],[70.51962948]
['time_x_clip_param_exp_0.9'],[6000],[500],[0.9],[0.],[5],[32],[2],[32],[61.59854054]
['time_x_timesteps_per_actorbatch_exp_100'],[6000],[100],[0.1],[0.],[5],[32],[2],[32],[52.61809349]
['time_x_entcoeff_exp_0.5'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[68.47510171]
['time_x_optim_batchsize_exp_64'],[6000],[500],[0.1],[0.],[5],[64],[2],[32],[100.71709013]
['time_x_num_layers_exp_20'],[6000],[500],[0.1],[0.],[5],[32],[2],[20],[132.43806529]
['time_x_num_timesteps_exp_6000'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[37.05901623]
['time_x_timesteps_per_actorbatch_exp_500'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[51.96278429]
['time_x_optim_batchsize_exp_10'],[6000],[500],[0.1],[0.],[5],[10],[2],[32],[156.41904187]
['time_x_optim_batchsize_exp_5'],[6000],[500],[0.1],[0.],[5],[5],[2],[32],[219.06399655]
['time_x_num_timesteps_exp_12000'],[12000],[500],[0.1],[0.],[5],[32],[2],[32],[89.16885424]
['time_x_optim_epochs_exp_10'],[6000],[500],[0.1],[0.],[10],[32],[2],[32],[102.59470606]
['time_x_timesteps_per_actorbatch_exp_2000'],[6000],[2000],[0.1],[0.],[5],[32],[2],[32],[76.00625253]
['time_x_timesteps_per_actorbatch_exp_250'],[6000],[250],[0.1],[0.],[5],[32],[2],[32],[47.40886235]
['time_x_num_timesteps_exp_8000'],[8000],[500],[0.1],[0.],[5],[32],[2],[32],[56.67864251]
['time_x_num_layers_exp_10'],[6000],[500],[0.1],[0.],[5],[32],[2],[10],[96.90910268]
['time_x_optim_epochs_exp_5'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[78.34744596]
['time_x_entcoeff_exp_0.9'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[71.66219115]
['time_x_optim_epochs_exp_1'],[6000],[500],[0.1],[0.],[1],[32],[2],[32],[66.40728807]
['time_x_nodes_per_layer_exp_3'],[6000],[500],[0.1],[0.],[5],[32],[3],[32],[106.41153765]
['time_x_num_timesteps_exp_10000'],[10000],[500],[0.1],[0.],[5],[32],[2],[32],[75.23327112]
['time_x_clip_param_exp_0.1'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[56.48351526]
['time_x_clip_param_exp_0.2'],[6000],[500],[0.2],[0.],[5],[32],[2],[32],[62.37352514]
['time_x_optim_batchsize_exp_100'],[6000],[500],[0.1],[0.],[5],[100],[2],[32],[105.6595242]
['time_x_optim_batchsize_exp_32'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[106.83351755]
['time_x_timesteps_per_actorbatch_exp_1000'],[6000],[1000],[0.1],[0.],[5],[32],[2],[32],[56.55611515]
['time_x_nodes_per_layer_exp_2'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[117.49610233]
['time_x_optim_batchsize_exp_50'],[6000],[500],[0.1],[0.],[5],[50],[2],[32],[102.61651921]
['time_x_entcoeff_exp_0.1'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[72.2247386]
