model_name,num_timesteps,timesteps_per_actorbatch,clip_param,entcoeff,optim_epochs,optim_batchsize,nodes_per_layer,num_layers,train_time
['time_x_nodes_per_layer_exp_1'],[6000],[500],[0.1],[0.],[5],[32],[1],[32],[51.18526506]
['time_x_entcoeff_exp_0'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[36.78812647]
['time_x_optim_epochs_exp_15'],[6000],[500],[0.1],[0.],[15],[32],[2],[32],[60.12052584]
['time_x_num_layers_exp_32'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[59.27070951]
['time_x_optim_epochs_exp_2'],[6000],[500],[0.1],[0.],[2],[32],[2],[32],[35.70299768]
['time_x_clip_param_exp_0.5'],[6000],[500],[0.5],[0.],[5],[32],[2],[32],[32.2842617]
['time_x_clip_param_exp_0.9'],[6000],[500],[0.9],[0.],[5],[32],[2],[32],[33.15529013]
['time_x_timesteps_per_actorbatch_exp_100'],[6000],[100],[0.1],[0.],[5],[32],[2],[32],[21.93336391]
['time_x_entcoeff_exp_0.5'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[37.32652235]
['time_x_optim_batchsize_exp_64'],[6000],[500],[0.1],[0.],[5],[64],[2],[32],[36.05039525]
['time_x_num_layers_exp_20'],[6000],[500],[0.1],[0.],[5],[32],[2],[20],[42.28928161]
['time_x_num_timesteps_exp_6000'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[25.85108685]
['time_x_timesteps_per_actorbatch_exp_500'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[25.80615807]
['time_x_optim_batchsize_exp_10'],[6000],[500],[0.1],[0.],[5],[10],[2],[32],[78.57908297]
['time_x_num_layers_exp_64'],[6000],[500],[0.1],[0.],[5],[32],[2],[64],[80.16740441]
['time_x_optim_batchsize_exp_5'],[6000],[500],[0.1],[0.],[5],[5],[2],[32],[114.85163808]
['time_x_num_timesteps_exp_12000'],[12000],[500],[0.1],[0.],[5],[32],[2],[32],[40.15894675]
['time_x_optim_epochs_exp_10'],[6000],[500],[0.1],[0.],[10],[32],[2],[32],[50.31019831]
['time_x_timesteps_per_actorbatch_exp_2000'],[6000],[2000],[0.1],[0.],[5],[32],[2],[32],[30.42578197]
['time_x_timesteps_per_actorbatch_exp_250'],[6000],[250],[0.1],[0.],[5],[32],[2],[32],[23.46969581]
['time_x_num_timesteps_exp_8000'],[8000],[500],[0.1],[0.],[5],[32],[2],[32],[26.09324765]
['time_x_num_layers_exp_10'],[6000],[500],[0.1],[0.],[5],[32],[2],[10],[39.0074873]
['time_x_optim_epochs_exp_5'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[40.75081992]
['time_x_entcoeff_exp_0.9'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[38.7392838]
['time_x_optim_epochs_exp_1'],[6000],[500],[0.1],[0.],[1],[32],[2],[32],[33.43673158]
['time_x_nodes_per_layer_exp_3'],[6000],[500],[0.1],[0.],[5],[32],[3],[32],[49.4789443]
['time_x_num_timesteps_exp_10000'],[10000],[500],[0.1],[0.],[5],[32],[2],[32],[33.21478915]
['time_x_clip_param_exp_0.1'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[31.10248137]
['time_x_clip_param_exp_0.2'],[6000],[500],[0.2],[0.],[5],[32],[2],[32],[31.54422259]
['time_x_optim_batchsize_exp_100'],[6000],[500],[0.1],[0.],[5],[100],[2],[32],[38.99045587]
['time_x_optim_batchsize_exp_32'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[45.45979071]
['time_x_timesteps_per_actorbatch_exp_1000'],[6000],[1000],[0.1],[0.],[5],[32],[2],[32],[30.32855678]
['time_x_nodes_per_layer_exp_2'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[44.89288735]
['time_x_optim_batchsize_exp_50'],[6000],[500],[0.1],[0.],[5],[50],[2],[32],[40.54182172]
['time_x_entcoeff_exp_0.1'],[6000],[500],[0.1],[0.],[5],[32],[2],[32],[39.62525606]
