model_name,num_timesteps,timesteps_per_actorbatch,clip_param,entcoeff,optim_epochs,optim_batchsize,nodes_per_layer,num_layers,train_time
['time_x_nodes_per_layer_exp_1'],[6000],[500],[0.1],[0],[5],[32],[1],[32],[48.68186784]
['time_x_entcoeff_exp_0'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[36.09984803]
['time_x_optim_epochs_exp_15'],[6000],[500],[0.1],[0],[15],[32],[2],[32],[63.28833222]
['time_x_num_layers_exp_32'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[47.90326715]
['time_x_optim_epochs_exp_2'],[6000],[500],[0.1],[0],[2],[32],[2],[32],[34.63250232]
['time_x_clip_param_exp_0.5'],[6000],[500],[0.5],[0],[5],[32],[2],[32],[31.81764793]
['time_x_clip_param_exp_0.9'],[6000],[500],[0.9],[0],[5],[32],[2],[32],[33.11594677]
['time_x_timesteps_per_actorbatch_exp_100'],[6000],[100],[0.1],[0],[5],[32],[2],[32],[22.27433777]
['time_x_entcoeff_exp_0.5'],[6000],[500],[0.1],[0.5],[5],[32],[2],[32],[35.65390396]
['time_x_optim_batchsize_exp_64'],[6000],[500],[0.1],[0],[5],[64],[2],[32],[37.36606455]
['time_x_num_layers_exp_20'],[6000],[500],[0.1],[0],[5],[32],[2],[20],[43.7343955]
['time_x_num_timesteps_exp_6000'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[22.06678486]
['time_x_timesteps_per_actorbatch_exp_500'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[25.87738562]
['time_x_optim_batchsize_exp_10'],[6000],[500],[0.1],[0],[5],[10],[2],[32],[75.78104568]
['time_x_num_layers_exp_64'],[6000],[500],[0.1],[0],[5],[32],[2],[64],[85.93862462]
['time_x_optim_batchsize_exp_5'],[6000],[500],[0.1],[0],[5],[5],[2],[32],[111.61954427]
['time_x_num_timesteps_exp_12000'],[12000],[500],[0.1],[0],[5],[32],[2],[32],[40.40666747]
['time_x_optim_epochs_exp_10'],[6000],[500],[0.1],[0],[10],[32],[2],[32],[51.56390882]
['time_x_timesteps_per_actorbatch_exp_2000'],[6000],[2000],[0.1],[0],[5],[32],[2],[32],[31.14439011]
['time_x_timesteps_per_actorbatch_exp_250'],[6000],[250],[0.1],[0],[5],[32],[2],[32],[23.51240706]
['time_x_num_timesteps_exp_8000'],[8000],[500],[0.1],[0],[5],[32],[2],[32],[26.8071363]
['time_x_num_layers_exp_10'],[6000],[500],[0.1],[0],[5],[32],[2],[10],[42.53163576]
['time_x_optim_epochs_exp_5'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[41.55049825]
['time_x_entcoeff_exp_0.9'],[6000],[500],[0.1],[0.9],[5],[32],[2],[32],[36.44590974]
['time_x_optim_epochs_exp_1'],[6000],[500],[0.1],[0],[1],[32],[2],[32],[33.26169252]
['time_x_nodes_per_layer_exp_3'],[6000],[500],[0.1],[0],[5],[32],[3],[32],[50.8481822]
['time_x_num_timesteps_exp_10000'],[10000],[500],[0.1],[0],[5],[32],[2],[32],[33.13644814]
['time_x_clip_param_exp_0.1'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[31.27935648]
['time_x_clip_param_exp_0.2'],[6000],[500],[0.2],[0],[5],[32],[2],[32],[31.44987392]
['time_x_optim_batchsize_exp_100'],[6000],[500],[0.1],[0],[5],[100],[2],[32],[36.1143775]
['time_x_optim_batchsize_exp_32'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[45.13572812]
['time_x_timesteps_per_actorbatch_exp_1000'],[6000],[1000],[0.1],[0],[5],[32],[2],[32],[30.15659666]
['time_x_nodes_per_layer_exp_2'],[6000],[500],[0.1],[0],[5],[32],[2],[32],[50.97947502]
['time_x_optim_batchsize_exp_50'],[6000],[500],[0.1],[0],[5],[50],[2],[32],[43.94231296]
['time_x_entcoeff_exp_0.1'],[6000],[500],[0.1],[0.1],[5],[32],[2],[32],[39.16891932]
