EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,8.796079635620117,0,-0.004759788513183594,5.674131,1.8572684e-05,0.0,0.0010623465,1.1046014
1000.0,-71.11851915995688,1,1,12.580083131790161,1000,0.039015769958496094,5.6744742,2.290743e-05,0.0,-0.010302405,0.96863943
1000.0,-71.11851915995688,0,1,18.3031747341156,1000,-0.009712457656860352,5.6765757,1.9490719e-05,0.0,-0.014562896,0.48739108
1000.0,-62.4562088062264,1,2,24.96031379699707,2000,-0.002533435821533203,5.6774282,1.076286e-05,0.0,-0.0026050683,0.5462902
1000.0,-62.4562088062264,0,2,28.78374981880188,2000,-0.0012912750244140625,5.6775336,5.364418e-06,0.0,-0.008979324,0.44096467
1000.0,-57.149567543130956,1,3,34.64360427856445,3000,0.0010758042335510254,5.6736593,1.4126301e-05,0.0,-0.0019229392,0.3808114
1000.0,-57.149567543130956,0,3,37.43663930892944,3000,-9.059906005859375e-06,5.6744847,1.3947487e-05,0.0,-0.009609913,0.8136665
1000.0,-58.6533136137959,1,4,41.379552602767944,4000,-0.0006827116012573242,5.675965,9.417534e-06,0.0,-0.008939683,0.80878615
1000.0,-58.6533136137959,0,4,45.77721285820007,4000,0.0015669465065002441,5.674499,1.6092013e-06,0.0,-0.005607476,0.3154973
1000.0,-55.127744719590225,1,5,50.715569496154785,5000,-3.159046173095703e-05,5.673913,1.9577642e-06,0.0,0.01086612,0.29612204
1000.0,-55.127744719590225,0,5,56.42075991630554,5000,-0.0009058713912963867,5.6731114,8.34465e-07,0.0,-0.0035531272,0.32134983
1000.0,-52.813003908450696,1,6,61.59854054450989,6000,-0.0002894401550292969,5.673548,1.1324883e-06,0.0,-0.007333488,0.30228445
