EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,11.02078127861023,0,-0.0010912418365478516,5.6696067,2.182573e-05,0.0,0.011536011,0.50247115
999.0,-68.85747095638854,1,1,16.47303318977356,999,0.053619384765625,5.662972,1.8129995e-05,0.0,-0.00088623265,0.7099861
999.0,-68.85747095638854,0,1,20.623178482055664,999,-0.02337777614593506,5.662674,1.49813795e-05,0.0,-0.0052819583,0.39386508
999.5,-60.79535771584794,1,2,25.731435775756836,1999,0.002374589443206787,5.6602407,2.0579497e-05,0.0,0.0018633385,0.47969368
999.5,-60.79535771584794,0,2,29.821250438690186,1999,-0.005894303321838379,5.6616945,1.3510758e-05,0.0,-0.0011839062,0.31402123
999.6666666666666,-57.45691371725626,1,3,34.27059769630432,2999,-0.0013065338134765625,5.65759,7.0528436e-06,0.0,-0.012755755,0.492242
999.6666666666666,-57.45691371725626,0,3,37.74602246284485,2999,-0.0006660223007202148,5.6555967,5.1259995e-06,0.0,-0.009667708,0.7701405
999.75,-59.77765256573169,1,4,42.19580364227295,3999,-0.00018680095672607422,5.6547627,4.053116e-06,0.0,4.2998792e-05,0.8334043
999.75,-59.77765256573169,0,4,46.82431674003601,3999,0.006176769733428955,5.654671,3.957997e-06,0.0,-0.0021956624,0.25888985
999.8,-56.03872742511167,1,5,52.71744751930237,4999,0.0021073222160339355,5.654137,6.5976133e-06,0.0,0.02487609,0.2382051
999.8,-56.03872742511167,0,5,55.74770903587341,4999,-0.001560807228088379,5.655072,1.6093254e-06,0.0,0.015565804,0.32237893
999.8333333333334,-54.02875542797389,1,6,60.7826292514801,5999,0.004494667053222656,5.655734,9.239962e-07,0.0,-0.009586531,0.27827895
999.8333333333334,-54.02875542797389,0,6,66.88097858428955,5999,-0.005534052848815918,5.6557336,-2.9802322e-08,0.0,-0.005138242,1.2254266
999.8571428571429,-57.323659569036984,1,7,72.22473859786987,6999,0.0003737807273864746,5.6557336,0.0,0.0,0.022682328,1.1552798
