EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,9.693529844284058,0,-0.011779546737670898,5.678704,5.185604e-06,0.0,0.011701831,0.9384328
1000.0,-70.78839418577537,1,1,16.35796284675598,1000,-0.172643780708313,5.6788263,3.4570694e-06,0.0,-0.00048001608,1.2799528
1000.0,-70.78839418577537,0,1,20.733511209487915,1000,-0.013975262641906738,5.6780767,1.7285347e-06,0.0,-0.007924856,0.6131276
1000.0,-61.685974127347535,1,2,24.178910493850708,2000,-0.10479795932769775,5.6768193,1.2516975e-06,0.0,-0.0030662054,0.6357337
1000.0,-61.685974127347535,0,2,29.012672185897827,2000,-0.0022499561309814453,5.6765666,4.7683716e-07,0.0,-7.4062744e-05,0.45207816
1000.0,-56.61658285092445,1,3,35.9854097366333,3000,-0.01618063449859619,5.6766124,1.2516975e-06,0.0,-0.0043869605,0.46310094
1000.0,-56.61658285092445,0,3,43.099069595336914,3000,1.4543533325195312e-05,5.6759315,2.3841858e-07,0.0,-0.009379899,1.0640785
1000.0,-59.390434058270685,1,4,49.47930955886841,4000,-0.00035703182220458984,5.6752086,5.066395e-07,0.0,-0.006325803,1.0160706
1000.0,-59.390434058270685,0,4,55.219133138656616,4000,-0.001486659049987793,5.6751275,2.3841858e-07,0.0,-0.009371793,0.29421246
1000.0,-55.324742865229915,1,5,60.64935374259949,5000,6.592273712158203e-05,5.67479,1.1920929e-07,0.0,-0.0033983588,0.3336007
1000.0,-55.324742865229915,0,5,64.05376243591309,5000,3.552436828613281e-05,5.674964,1.1920929e-07,0.0,0.0033876384,0.4033906
1000.0,-53.364704971539965,1,6,67.90435028076172,6000,1.704692840576172e-05,5.674934,-2.9802322e-08,0.0,-0.0027720302,0.4095907
