EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,4.919428825378418,0,4.106760025024414e-05,5.6703973,2.95043e-05,0.0,-0.01402999,0.9505598
1000.0,-67.85789934692497,1,1,7.847236394882202,1000,-0.006884217262268066,5.671219,4.2548527e-05,0.0,0.006714805,0.9190947
1000.0,-67.85789934692497,0,1,10.571078538894653,1000,-0.0024840831756591797,5.67189,1.6510487e-05,0.0,-0.0077103805,0.58005387
1000.0,-60.69099699752509,1,2,13.532864570617676,2000,-9.930133819580078e-05,5.673316,3.0454994e-05,0.0,0.0030689477,0.51882607
1000.0,-60.69099699752509,0,2,16.28043007850647,2000,-0.004665017127990723,5.6713586,2.8312206e-06,0.0,-0.009525019,0.3806625
1000.0,-56.61351279196089,1,3,19.14224410057068,3000,-0.0009375810623168945,5.667954,6.914139e-06,0.0,-0.00630684,0.48646262
1000.0,-56.61351279196089,0,3,21.93550395965576,3000,-0.0016804933547973633,5.66587,1.0192394e-05,0.0,0.007940835,0.77520376
1000.0,-57.96911984910085,1,4,24.933647871017456,4000,-0.0007241964340209961,5.6651483,1.0728836e-06,0.0,0.0069345534,0.723072
1000.0,-57.96911984910085,0,4,27.757286071777344,4000,-0.0002777576446533203,5.662832,2.861023e-06,0.0,-0.0054470333,0.34649175
1000.0,-54.70373198374708,1,5,30.75101399421692,5000,-0.00035703182220458984,5.6630807,3.0994415e-06,0.0,-0.013512226,0.25629514
1000.0,-54.70373198374708,0,5,33.65434646606445,5000,-0.0005649328231811523,5.6628804,6.556511e-07,0.0,-0.010909994,0.29975697
1000.0,-52.860666833382,1,6,36.78812646865845,6000,-5.626678466796875e-05,5.663361,3.874302e-07,0.0,-0.007951435,0.3853317
