EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,8.562960624694824,0,1.0132789611816406e-05,5.6754217,5.4710483e-05,0.0,0.008605849,1.2795794
1000.0,-71.9630866943068,1,1,13.365407228469849,1000,0.00446009635925293,5.675628,2.1524354e-05,0.0,-0.004099345,1.1838489
1000.0,-71.9630866943068,0,1,17.373610258102417,1000,-0.0013998746871948242,5.6711297,4.71207e-05,0.0,-0.00927467,0.6016079
1000.0,-62.49257520646916,1,2,21.20286250114441,2000,-0.0011551380157470703,5.675817,7.5694916e-05,0.0,-0.0038275917,0.6046934
1000.0,-62.49257520646916,0,2,25.505289316177368,2000,-0.003045797348022461,5.6796184,1.424551e-05,0.0,-0.008406971,0.4119749
1000.0,-56.277234949135305,1,3,29.243589401245117,3000,-0.0020557641983032227,5.6803045,2.7524184e-05,0.0,-0.0045396583,0.34622875
1000.0,-56.277234949135305,0,3,33.54055190086365,3000,-0.0004564523696899414,5.681382,1.0848045e-05,0.0,-0.0070588295,0.918556
1000.0,-58.67248688782779,1,4,36.782148122787476,4000,-0.0007861852645874023,5.678367,8.832415e-06,0.0,-0.011385543,0.8851501
1000.0,-58.67248688782779,0,4,39.950679540634155,4000,-0.0020148754119873047,5.6785975,1.2814999e-05,0.0,-0.012352542,0.3297371
1000.0,-55.29476855780244,1,5,43.27915596961975,5000,-0.00041353702545166016,5.679919,7.212162e-06,0.0,0.009753468,0.3246834
1000.0,-55.29476855780244,0,5,46.25076675415039,5000,0.000298917293548584,5.6795707,1.4901161e-06,0.0,-0.012793139,0.45298633
1000.0,-53.809052527984306,1,6,49.478944301605225,6000,-0.0003337860107421875,5.6792607,1.1920929e-06,0.0,0.014547038,0.39723858
