EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,5.067644357681274,0,-0.014587640762329102,5.668826,3.1690797e-05,0.0,0.019760208,1.5319511
1000.0,-70.40134378378507,1,1,8.587507009506226,1000,0.7436786890029907,5.663526,2.3288902e-05,0.0,-0.004291906,1.2150992
1000.0,-70.40134378378507,0,1,11.623162508010864,1000,-0.12809014320373535,5.6653566,1.2654438e-05,0.0,-0.006231179,0.2618517
1000.0,-62.78451617239456,1,2,15.466925621032715,2000,0.07327568531036377,5.6625113,3.995684e-05,0.0,-0.012688885,0.51161927
1000.0,-62.78451617239456,0,2,18.054987907409668,2000,0.3925277590751648,5.665314,1.3225277e-05,0.0,0.005371804,0.4712662
1000.0,-57.787875172046746,1,3,20.679688453674316,3000,0.2610212564468384,5.6676564,2.167076e-05,0.0,0.001183095,0.37418932
1000.0,-57.787875172046746,0,3,23.15719723701477,3000,0.05281376838684082,5.669564,1.5786663e-05,0.0,-0.0020103573,0.7150024
1000.0,-60.07327425828815,1,4,25.899717569351196,4000,-0.20543253421783447,5.6703405,3.058215e-06,0.0,-0.006123409,0.7854692
1000.0,-60.07327425828815,0,4,29.161868572235107,4000,0.0332067608833313,5.6702733,8.341546e-07,0.0,2.3405502e-05,0.32647228
1000.0,-56.45021250755186,1,5,32.444862842559814,5000,-0.0041495561599731445,5.670202,9.535501e-07,0.0,0.0033351358,0.3450185
1000.0,-56.45021250755186,0,5,35.33856225013733,5000,-0.20617902278900146,5.6698923,5.3606925e-07,0.0,0.001279376,0.31961033
1000.0,-54.042354026180924,1,6,39.007487297058105,6000,0.06394124031066895,5.6694036,2.3586056e-06,0.0,-0.0034544964,0.35270664
