EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,3.2153847217559814,0,8.106231689453125e-06,5.66568,5.0782786e-05,0.0,-0.005507917,1.2203805
1000.0,-72.23894652559068,1,1,5.3577165603637695,1000,-0.011538982391357422,5.661486,2.4333845e-05,0.0,-0.00019850036,1.0915551
1000.0,-72.23894652559068,0,1,7.372396230697632,1000,-0.0019872188568115234,5.6615624,2.8117995e-05,0.0,0.030991955,0.60473514
1000.0,-62.801952445111695,1,2,9.485753059387207,2000,-0.0030913352966308594,5.657929,9.459878e-06,0.0,-0.01229074,0.54221565
1000.0,-62.801952445111695,0,2,11.409697771072388,2000,-0.0010077953338623047,5.658501,7.867813e-06,0.0,0.0031686046,0.44838715
1000.0,-57.499912590066636,1,3,13.555211782455444,3000,-0.0016537904739379883,5.6580586,6.1392784e-06,0.0,-0.012013857,0.42481658
1000.0,-57.499912590066636,0,3,15.4674072265625,3000,-0.0006444454193115234,5.659797,2.2557874e-06,0.0,-0.00096903445,0.9765312
1000.0,-59.53972339814453,1,4,17.51531434059143,4000,-0.0003374814987182617,5.6599736,3.0994415e-06,0.0,0.0063910256,0.8539126
1000.0,-59.53972339814453,0,4,19.50388240814209,4000,-0.0003628730773925781,5.6594396,2.4437904e-06,0.0,-0.010881241,0.33235863
1000.0,-55.80976633611933,1,5,21.700108289718628,5000,-6.949901580810547e-05,5.6606727,2.861023e-06,0.0,-0.011939583,0.3070158
1000.0,-55.80976633611933,0,5,23.65437126159668,5000,-0.0005605220794677734,5.661339,5.364418e-07,0.0,0.0013608421,0.31358248
1000.0,-53.30369375698279,1,6,25.8061580657959,6000,6.645917892456055e-05,5.661657,6.556511e-07,0.0,0.021798462,0.33417913
