EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
nan,nan,0,0,13.692077875137329,0,1.1920928955078125e-07,5.677297,2.2463128e-05,0.0,-0.004597542,0.9030893
999.0,-70.69040204355284,1,1,19.401573419570923,999,-0.005076050758361816,5.6759486,9.999052e-06,0.0,-0.013725106,0.96140844
999.0,-70.69040204355284,0,1,23.924888610839844,999,-0.004078865051269531,5.6766305,3.1218926e-05,0.0,-0.0059296293,0.6057021
999.5,-61.482870122436466,1,2,28.782972812652588,1999,-0.0018252134323120117,5.6770353,1.4957785e-05,0.0,0.006015871,0.49018738
999.5,-61.482870122436466,0,2,33.64856219291687,1999,-0.0008124113082885742,5.676493,6.1328215e-06,0.0,-0.0012007678,0.46040827
999.6666666666666,-56.94688891817805,1,3,38.77046060562134,2999,-0.0007071495056152344,5.6764956,9.761502e-06,0.0,0.001379207,0.44563478
999.6666666666666,-56.94688891817805,0,3,44.0252525806427,2999,-0.0005612373352050781,5.6769414,2.7438005e-06,0.0,-0.0077901324,0.8061244
999.75,-57.9723534798862,1,4,49.113558769226074,3999,-0.00010633468627929688,5.679675,8.8809675e-06,0.0,0.0193761,0.76157063
999.75,-57.9723534798862,0,4,54.320977210998535,3999,2.0682811737060547e-05,5.679313,2.3245811e-06,0.0,-0.0022970557,0.3668669
999.8,-55.1643209350738,1,5,59.71939992904663,4999,-5.0187110900878906e-05,5.677956,4.1127205e-06,0.0,-0.013041824,0.3883773
999.8,-55.1643209350738,0,5,64.90555596351624,4999,-0.0005434751510620117,5.677951,6.556511e-07,0.0,0.0013237223,0.31375325
999.8333333333334,-52.99620131361521,1,6,69.77955174446106,5999,7.557868957519531e-05,5.6789403,4.172325e-07,0.0,0.0103337085,0.37450698
999.8333333333334,-52.99620131361521,0,6,75.11138129234314,5999,-8.726119995117188e-05,5.6789403,5.9604645e-08,0.0,-0.0020175378,1.2521573
999.8571428571429,-55.865547170299216,1,7,80.16740441322327,6999,-1.1920928955078125e-07,5.6789403,-2.3841858e-07,0.0,-0.008815674,1.1380659
